stage,block_size,block_row,block_col,channel,before_sum,after_sum,abs_difference
rdh,16,16,48,1,38400,38400,0
rdh,16,16,48,2,46080,46080,0
rdh,16,32,0,0,42240,42240,0
rdh,16,32,0,1,19520,19520,0
rdh,16,32,0,2,40000,40000,0
rdh,16,32,16,0,38400,38400,0
rdh,16,32,16,1,21760,21760,0
rdh,16,32,16,2,39680,39680,0
rdh,16,32,32,0,20640,20640,0
rdh,16,32,32,1,40320,40320,0
rdh,16,32,32,2,48000,48000,0
rdh,16,32,48,0,21120,21120,0
rdh,16,32,48,1,38400,38400,0
rdh,16,32,48,2,46080,46080,0
rdh,16,48,0,0,25440,25440,0
rdh,16,48,0,1,29320,29320,0
rdh,16,48,0,2,38600,38600,0
rdh,16,48,16,0,24960,24960,0
rdh,16,48,16,1,29600,29600,0
rdh,16,48,16,2,38560,38560,0
rdh,16,48,32,0,23040,23040,0
rdh,16,48,32,1,30720,30720,0
rdh,16,48,32,2,38400,38400,0
rdh,16,48,48,0,23040,23040,0
rdh,16,48,48,1,30720,30720,0
rdh,16,48,48,2,38400,38400,0
substitution,16,0,0,0,18599,18599,0
substitution,16,0,0,1,32795,32795,0
substitution,16,0,0,2,32272,32272,0
substitution,16,0,16,0,19840,19840,0
substitution,16,0,16,1,34560,34560,0
substitution,16,0,16,2,34560,34560,0
substitution,16,0,32,0,23039,23039,0
substitution,16,0,32,1,30717,30717,0
substitution,16,0,32,2,38399,38399,0
substitution,16,0,48,0,23031,23031,0
substitution,16,0,48,1,30710,30710,0
substitution,16,0,48,2,38391,38391,0
substitution,16,16,0,0,19840,19840,0
substitution,16,16,0,1,34560,34560,0
substitution,16,16,0,2,34560,34560,0
substitution,16,16,16,0,19840,19840,0
substitution,16,16,16,1,34560,34560,0
substitution,16,16,16,2,34560,34560,0
substitution,16,16,32,0,20640,20640,0
substitution,16,16,32,1,40320,40320,0
substitution,16,16,32,2,48000,48000,0
substitution,16,16,48,0,21120,21120,0
substitution,16,16,48,1,38400,38400,0
substitution,16,16,48,2,46080,46080,0
substitution,16,32,0,0,42240,42240,0
substitution,16,32,0,1,19520,19520,0
substitution,16,32,0,2,40000,40000,0
substitution,16,32,16,0,38400,38400,0
substitution,16,32,16,1,21760,21760,0
substitution,16,32,16,2,39680,39680,0
substitution,16,32,32,0,20640,20640,0
substitution,16,32,32,1,40320,40320,0
substitution,16,32,32,2,48000,48000,0
substitution,16,32,48,0,21120,21120,0
substitution,16,32,48,1,38400,38400,0
substitution,16,32,48,2,46080,46080,0
substitution,16,48,0,0,25440,25440,0
substitution,16,48,0,1,29320,29320,0
substitution,16,48,0,2,38600,38600,0
substitution,16,48,16,0,24960,24960,0
substitution,16,48,16,1,29600,29600,0
substitution,16,48,16,2,38560,38560,0
substitution,16,48,32,0,23040,23040,0
substitution,16,48,32,1,30720,30720,0
substitution,16,48,32,2,38400,38400,0
substitution,16,48,48,0,23040,23040,0
substitution,16,48,48,1,30720,30720,0
substitution,16,48,48,2,38400,38400,0
rdh,32,0,0,0,78115,78116,1
rdh,32,0,0,1,136471,136474,3
rdh,32,0,0,2,135947,135948,1
rdh,32,0,32,0,87840,87833,7
rdh,32,0,32,1,140160,140152,8
rdh,32,0,32,2,170880,170874,6
rdh,32,32,0,0,131040,131040,0
rdh,32,32,0,1,100200,100200,0
rdh,32,32,0,2,156840,156840,0
rdh,32,32,32,0,87840,87840,0
rdh,32,32,32,1,140160,140160,0
rdh,32,32,32,2,170880,170880,0
substitution,32,0,0,0,78116,78116,0
substitution,32,0,0,1,136474,136474,0
substitution,32,0,0,2,135948,135948,0
substitution,32,0,32,0,87833,87833,0
substitution,32,0,32,1,140152,140152,0
substitution,32,0,32,2,170874,170874,0
substitution,32,32,0,0,131040,131040,0
substitution,32,32,0,1,100200,100200,0
substitution,32,32,0,2,156840,156840,0
substitution,32,32,32,0,87840,87840,0
substitution,32,32,32,1,140160,140160,0
substitution,32,32,32,2,170880,170880,0
rdh,64,0,0,0,384835,384829,6
rdh,64,0,0,1,516991,516986,5
rdh,64,0,0,2,634547,634542,5
substitution,64,0,0,0,384829,384829,0
substitution,64,0,0,1,516986,516986,0
substitution,64,0,0,2,634542,634542,0
